school,school_setting,school_type,classroom,teaching_method,n_student,gender,lunch,pretest,posttest
ANKYI,Urban,Non-public,6OL,Standard,1,Female,Does not qualify,62.0,72.0
ANKYI,Urban,Non-public,6OL,Standard,1,Female,Does not qualify,66.0,79.0
ANKYI,Urban,Non-public,6OL,Standard,1,Male,Does not qualify,64.0,76.0
ANKYI,Urban,Non-public,6OL,Standard,1,Female,Does not qualify,61.0,77.0
ANKYI,Urban,Non-public,6OL,Standard,1,Male,Does not qualify,64.0,76.0
ANKYI,Urban,Non-public,6OL,Standard,1,Female,Does not qualify,66.0,74.0
ANKYI,Urban,Non-public,6OL,Standard,1,Male,Does not qualify,63.0,75.0
ANKYI,Urban,Non-public,6OL,Standard,1,Female,Does not qualify,63.0,72.0
ANKYI,Urban,Non-public,6OL,Standard,1,Male,Does not qualify,64.0,77.0
ANKYI,Urban,Non-public,6OL,Standard,1,Female,Does not qualify,61.0,72.0
ANKYI,Urban,Non-public,6OL,Standard,1,Male,Does not qualify,61.0,73.0
ANKYI,Urban,Non-public,6OL,Standard,1,Male,Does not qualify,64.0,74.0
ANKYI,Urban,Non-public,6OL,Standard,1,Male,Does not qualify,66.0,78.0
ANKYI,Urban,Non-public,6OL,Standard,1,Female,Does not qualify,60.0,71.0
ANKYI,Urban,Non-public,6OL,Standard,1,Female,Does not qualify,64.0,77.0
ANKYI,Urban,Non-public,6OL,Standard,1,Male,Does not qualify,64.0,73.0
ANKYI,Urban,Non-public,6OL,Standard,1,Male,Does not qualify,63.0,70.0
ANKYI,Urban,Non-public,6OL,Standard,1,Male,Does not qualify,67.0,73.0
ANKYI,Urban,Non-public,6OL,Standard,1,Female,Does not qualify,63.0,71.0
ANKYI,Urban,Non-public,6OL,Standard,1,Male,Does not qualify,64.0,73.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Male,Does not qualify,60.0,68.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Male,Does not qualify,60.0,70.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Male,Does not qualify,57.0,66.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Male,Does not qualify,57.0,70.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Female,Qualifies for reduced/free lunch,56.0,65.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Male,Does not qualify,58.0,67.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Female,Does not qualify,60.0,70.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Female,Does not qualify,60.0,67.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Male,Does not qualify,54.0,63.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Male,Does not qualify,60.0,75.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Male,Does not qualify,58.0,66.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Female,Does not qualify,66.0,71.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Male,Does not qualify,60.0,76.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Female,Does not qualify,59.0,69.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Female,Does not qualify,57.0,69.0
ANKYI,Urban,Non-public,ZNS,Standard,1,Female,Does not qualify,60.0,68.0
